frame,domain,stage,value
0,cpu_ms,bvh_record,544.928600
0,cpu_ms,compile_builders,1422.850200
0,cpu_ms,compile_renderer,71970.296700
0,cpu_ms,develop,0.122400
0,cpu_ms,develop_submit,0.096000
0,cpu_ms,develop_wait,0.000200
0,cpu_ms,frame_wall,371935.156400
0,cpu_ms,light_selection_record,0.435800
0,cpu_ms,preprocess_submit,1824.079100
0,cpu_ms,render_setup,0.136000
0,cpu_ms,render_submit,3909.287400
0,cpu_ms,render_wait,0.000500
0,cpu_ms,render_wall,371935.033100
0,cpu_ms,scene_metadata,0.095400
0,cpu_ms,scene_registration,291186.017900
0,cpu_ms,scene_update,366997.645900
0,cpu_ms,software_prepare,73441.769800
0,count,blas_rebuilt,1
0,count,bvh_dispatches,21259
0,count,bvh_nodes,969840
0,count,gpu_timestamps,0
0,count,instances,928
1,cpu_ms,bvh_record,1.769500
1,cpu_ms,develop,0.101000
1,cpu_ms,develop_submit,0.075100
1,cpu_ms,develop_wait,0.000200
1,cpu_ms,frame_wall,3932.257100
1,cpu_ms,light_selection_record,0.071400
1,cpu_ms,preprocess_submit,68.521300
1,cpu_ms,render_setup,0.105800
1,cpu_ms,render_submit,3715.984600
1,cpu_ms,render_wait,0.000700
1,cpu_ms,render_wall,3932.155600
1,cpu_ms,scene_metadata,0.022600
1,cpu_ms,scene_registration,106.664300
1,cpu_ms,scene_update,216.038500
1,cpu_ms,software_prepare,38.964500
1,count,blas_rebuilt,0
1,count,bvh_dispatches,78
1,count,bvh_nodes,969840
1,count,gpu_timestamps,0
1,count,instances,928
2,cpu_ms,bvh_record,2.089600
2,cpu_ms,develop,0.141400
2,cpu_ms,develop_submit,0.094000
2,cpu_ms,develop_wait,0.000200
2,cpu_ms,frame_wall,3842.102000
2,cpu_ms,light_selection_record,0.119400
2,cpu_ms,preprocess_submit,69.556800
2,cpu_ms,render_setup,0.072100
2,cpu_ms,render_submit,3709.779700
2,cpu_ms,render_wait,0.000600
2,cpu_ms,render_wall,3841.959600
2,cpu_ms,scene_metadata,0.023000
2,cpu_ms,scene_registration,21.260800
2,cpu_ms,scene_update,132.078800
2,cpu_ms,software_prepare,38.995900
2,count,blas_rebuilt,0
2,count,bvh_dispatches,78
2,count,bvh_nodes,969840
2,count,gpu_timestamps,0
2,count,instances,928
3,cpu_ms,bvh_record,1.629100
3,cpu_ms,develop,0.115100
3,cpu_ms,develop_submit,0.077700
3,cpu_ms,develop_wait,0.000200
3,cpu_ms,frame_wall,3844.738800
3,cpu_ms,light_selection_record,0.071200
3,cpu_ms,preprocess_submit,67.347000
3,cpu_ms,render_setup,0.084500
3,cpu_ms,render_submit,3715.625900
3,cpu_ms,render_wait,0.000600
3,cpu_ms,render_wall,3844.623200
3,cpu_ms,scene_metadata,0.023300
3,cpu_ms,scene_registration,21.297400
3,cpu_ms,scene_update,128.886500
3,cpu_ms,software_prepare,38.498600
3,count,blas_rebuilt,0
3,count,bvh_dispatches,78
3,count,bvh_nodes,969840
3,count,gpu_timestamps,0
3,count,instances,928
4,cpu_ms,bvh_record,1.121100
4,cpu_ms,develop,0.146000
4,cpu_ms,develop_submit,0.117700
4,cpu_ms,develop_wait,0.000300
4,cpu_ms,frame_wall,3857.674200
4,cpu_ms,light_selection_record,0.051400
4,cpu_ms,preprocess_submit,68.290700
4,cpu_ms,render_setup,0.079500
4,cpu_ms,render_submit,3726.287800
4,cpu_ms,render_wait,0.000500
4,cpu_ms,render_wall,3857.527500
4,cpu_ms,scene_metadata,0.023400
4,cpu_ms,scene_registration,23.182200
4,cpu_ms,scene_update,131.131500
4,cpu_ms,software_prepare,38.445900
4,count,blas_rebuilt,0
4,count,bvh_dispatches,78
4,count,bvh_nodes,969840
4,count,gpu_timestamps,0
4,count,instances,928
5,cpu_ms,bvh_record,1.385300
5,cpu_ms,develop,0.127100
5,cpu_ms,develop_submit,0.099600
5,cpu_ms,develop_wait,0.000200
5,cpu_ms,frame_wall,3861.300900
5,cpu_ms,light_selection_record,0.075800
5,cpu_ms,preprocess_submit,68.414600
5,cpu_ms,render_setup,0.074100
5,cpu_ms,render_submit,3732.727200
5,cpu_ms,render_wait,0.000600
5,cpu_ms,render_wall,3861.173000
5,cpu_ms,scene_metadata,0.023500
5,cpu_ms,scene_registration,20.052600
5,cpu_ms,scene_update,128.345400
5,cpu_ms,software_prepare,38.366400
5,count,blas_rebuilt,0
5,count,bvh_dispatches,78
5,count,bvh_nodes,969840
5,count,gpu_timestamps,0
5,count,instances,928
6,cpu_ms,bvh_record,1.097600
6,cpu_ms,develop,0.124500
6,cpu_ms,develop_submit,0.091500
6,cpu_ms,develop_wait,0.000200
6,cpu_ms,frame_wall,3843.668900
6,cpu_ms,light_selection_record,0.063700
6,cpu_ms,preprocess_submit,67.914200
6,cpu_ms,render_setup,0.074700
6,cpu_ms,render_submit,3713.133900
6,cpu_ms,render_wait,0.000700
6,cpu_ms,render_wall,3843.543900
6,cpu_ms,scene_metadata,0.023000
6,cpu_ms,scene_registration,21.988300
6,cpu_ms,scene_update,130.308700
6,cpu_ms,software_prepare,39.202400
6,count,blas_rebuilt,0
