frame,domain,stage,value
0,cpu_ms,compile_renderer,3346.694200
0,cpu_ms,develop,2.971700
0,cpu_ms,develop_submit,0.646000
0,cpu_ms,develop_wait,0.126800
0,cpu_ms,frame_wall,62974.476600
0,cpu_ms,light_selection_record,0.986900
0,cpu_ms,preprocess_submit,5.734800
0,cpu_ms,render_setup,27.784000
0,cpu_ms,render_submit,1.789000
0,cpu_ms,render_wait,371.190700
0,cpu_ms,render_wall,62971.502900
0,cpu_ms,scene_metadata,1.260400
0,cpu_ms,scene_registration,58086.135900
0,cpu_ms,scene_update,61900.130800
0,cpu_ms,software_prepare,3806.003300
0,count,gpu_timestamps,0
0,count,instances,928
0,count,native_ray_query,1
1,cpu_ms,develop,0.548800
1,cpu_ms,develop_submit,0.150300
1,cpu_ms,develop_wait,0.117500
1,cpu_ms,frame_wall,311.934600
1,cpu_ms,light_selection_record,0.196300
1,cpu_ms,preprocess_submit,4.830100
1,cpu_ms,render_setup,6.491600
1,cpu_ms,render_submit,0.600100
1,cpu_ms,render_wait,104.519300
1,cpu_ms,render_wall,311.383900
1,cpu_ms,scene_metadata,0.176200
1,cpu_ms,scene_registration,154.182500
1,cpu_ms,scene_update,199.682900
1,cpu_ms,software_prepare,40.292300
1,count,gpu_timestamps,0
1,count,instances,928
1,count,native_ray_query,1
2,cpu_ms,develop,0.639000
2,cpu_ms,develop_submit,0.152800
2,cpu_ms,develop_wait,0.111000
2,cpu_ms,frame_wall,312.440600
2,cpu_ms,light_selection_record,1.325000
2,cpu_ms,preprocess_submit,4.049500
2,cpu_ms,render_setup,6.410800
2,cpu_ms,render_submit,0.593300
2,cpu_ms,render_wait,105.283200
2,cpu_ms,render_wall,311.799700
2,cpu_ms,scene_metadata,0.186300
2,cpu_ms,scene_registration,154.016900
2,cpu_ms,scene_update,199.407100
2,cpu_ms,software_prepare,39.823700
2,count,gpu_timestamps,0
2,count,instances,928
2,count,native_ray_query,1
3,cpu_ms,develop,0.617200
3,cpu_ms,develop_submit,0.155700
3,cpu_ms,develop_wait,0.128000
3,cpu_ms,frame_wall,308.957000
3,cpu_ms,light_selection_record,0.183400
3,cpu_ms,preprocess_submit,4.497300
3,cpu_ms,render_setup,6.572000
3,cpu_ms,render_submit,0.536300
3,cpu_ms,render_wait,104.088000
3,cpu_ms,render_wall,308.337700
3,cpu_ms,scene_metadata,0.177800
3,cpu_ms,scene_registration,152.953800
3,cpu_ms,scene_update,197.044500
3,cpu_ms,software_prepare,39.225800
3,count,gpu_timestamps,0
3,count,instances,928
3,count,native_ray_query,1
4,cpu_ms,develop,0.500300
4,cpu_ms,develop_submit,0.108900
4,cpu_ms,develop_wait,0.103600
4,cpu_ms,frame_wall,310.429500
4,cpu_ms,light_selection_record,0.196500
4,cpu_ms,preprocess_submit,4.135700
4,cpu_ms,render_setup,7.204700
4,cpu_ms,render_submit,0.602500
4,cpu_ms,render_wait,104.782300
4,cpu_ms,render_wall,309.927800
4,cpu_ms,scene_metadata,0.177400
4,cpu_ms,scene_registration,152.897800
4,cpu_ms,scene_update,197.267400
4,cpu_ms,software_prepare,39.853100
4,count,gpu_timestamps,0
4,count,instances,928
4,count,native_ray_query,1
5,cpu_ms,develop,0.333000
5,cpu_ms,develop_submit,0.080700
5,cpu_ms,develop_wait,0.100000
5,cpu_ms,frame_wall,304.850500
5,cpu_ms,light_selection_record,0.170700
5,cpu_ms,preprocess_submit,3.760300
5,cpu_ms,render_setup,7.209800
5,cpu_ms,render_submit,0.603400
5,cpu_ms,render_wait,102.853700
5,cpu_ms,render_wall,304.516300
5,cpu_ms,scene_metadata,0.176000
5,cpu_ms,scene_registration,150.561400
