frame,domain,stage,value
0,cpu_ms,compile_renderer,49535.899000
0,cpu_ms,develop,0.098000
0,cpu_ms,develop_submit,0.073000
0,cpu_ms,develop_wait,0.000200
0,cpu_ms,frame_wall,334256.969600
0,cpu_ms,light_selection_record,0.444600
0,cpu_ms,preprocess_submit,108.487200
0,cpu_ms,render_setup,0.129300
0,cpu_ms,render_submit,1673.632500
0,cpu_ms,render_wait,0.000600
0,cpu_ms,render_wall,334256.871100
0,cpu_ms,scene_metadata,0.088200
0,cpu_ms,scene_registration,281579.932300
0,cpu_ms,scene_update,331554.894200
0,cpu_ms,software_prepare,49865.932900
0,count,gpu_timestamps,0
0,count,instances,928
0,count,optix_hardware_traversal,1
1,cpu_ms,develop,0.149900
1,cpu_ms,develop_submit,0.110500
1,cpu_ms,develop_wait,0.000400
1,cpu_ms,frame_wall,1661.932000
1,cpu_ms,light_selection_record,0.064700
1,cpu_ms,preprocess_submit,71.729800
1,cpu_ms,render_setup,0.075000
1,cpu_ms,render_submit,1512.914500
1,cpu_ms,render_wait,0.000600
1,cpu_ms,render_wall,1661.781600
1,cpu_ms,scene_metadata,0.021900
1,cpu_ms,scene_registration,37.640300
1,cpu_ms,scene_update,148.769900
1,cpu_ms,software_prepare,39.309700
1,count,gpu_timestamps,0
1,count,instances,928
1,count,optix_hardware_traversal,1
2,cpu_ms,develop,0.123600
2,cpu_ms,develop_submit,0.085700
2,cpu_ms,develop_wait,0.000200
2,cpu_ms,frame_wall,1657.716900
2,cpu_ms,light_selection_record,0.088800
2,cpu_ms,preprocess_submit,77.016300
2,cpu_ms,render_setup,0.105800
2,cpu_ms,render_submit,1511.599700
2,cpu_ms,render_wait,0.000500
2,cpu_ms,render_wall,1657.592600
2,cpu_ms,scene_metadata,0.020900
2,cpu_ms,scene_registration,29.804700
2,cpu_ms,scene_update,145.866500
2,cpu_ms,software_prepare,38.932700
2,count,gpu_timestamps,0
2,count,instances,928
2,count,optix_hardware_traversal,1
3,cpu_ms,develop,0.134300
3,cpu_ms,develop_submit,0.108100
3,cpu_ms,develop_wait,0.000400
3,cpu_ms,frame_wall,1661.434400
3,cpu_ms,light_selection_record,0.083100
3,cpu_ms,preprocess_submit,73.762400
3,cpu_ms,render_setup,0.101900
3,cpu_ms,render_submit,1512.755100
3,cpu_ms,render_wait,0.000700
3,cpu_ms,render_wall,1661.299600
3,cpu_ms,scene_metadata,0.074700
3,cpu_ms,scene_registration,35.588900
3,cpu_ms,scene_update,148.421300
3,cpu_ms,software_prepare,38.908200
3,count,gpu_timestamps,0
3,count,instances,928
3,count,optix_hardware_traversal,1
4,cpu_ms,develop,0.097900
4,cpu_ms,develop_submit,0.073900
4,cpu_ms,develop_wait,0.000200
4,cpu_ms,frame_wall,1666.629200
4,cpu_ms,light_selection_record,0.084600
4,cpu_ms,preprocess_submit,70.361900
4,cpu_ms,render_setup,0.080500
4,cpu_ms,render_submit,1512.162000
4,cpu_ms,render_wait,0.000500
4,cpu_ms,render_wall,1666.530500
4,cpu_ms,scene_metadata,0.036100
4,cpu_ms,scene_registration,45.808800
