frame,domain,stage,value
0,cpu_ms,compile_renderer,8463.554400
0,cpu_ms,develop,2.158100
0,cpu_ms,develop_submit,2.023500
0,cpu_ms,develop_wait,0.006100
0,cpu_ms,frame_wall,254072.379000
0,cpu_ms,light_selection_record,0.891700
0,cpu_ms,preprocess_submit,33.028900
0,cpu_ms,render_setup,0.480200
0,cpu_ms,render_submit,364.813500
0,cpu_ms,render_wait,0.011300
0,cpu_ms,render_wall,254070.220100
0,cpu_ms,scene_metadata,10.047600
0,cpu_ms,scene_registration,243041.948100
0,cpu_ms,scene_update,251859.060200
0,cpu_ms,software_prepare,8773.133600
0,cpu_ms,static_upload,847.349600
0,count,gpu_timestamps,0
0,count,instances,928
0,count,native_ray_query,1
0,count,static_upload_bytes,701528
0,count,static_upload_calls,5187
1,cpu_ms,develop,2.193000
1,cpu_ms,develop_submit,1.913700
1,cpu_ms,develop_wait,0.021300
1,cpu_ms,frame_wall,386.280300
1,cpu_ms,light_selection_record,0.151900
1,cpu_ms,preprocess_submit,13.378100
1,cpu_ms,render_setup,0.276100
1,cpu_ms,render_submit,158.408700
1,cpu_ms,render_wait,0.022600
1,cpu_ms,render_wall,384.085700
1,cpu_ms,scene_metadata,0.226100
1,cpu_ms,scene_registration,172.488400
1,cpu_ms,scene_update,225.252400
1,cpu_ms,software_prepare,39.004700
1,cpu_ms,static_upload,165.816000
1,count,gpu_timestamps,0
1,count,instances,928
1,count,native_ray_query,1
1,count,static_upload_bytes,250720
1,count,static_upload_calls,2345
2,cpu_ms,develop,0.732600
2,cpu_ms,develop_submit,0.603400
2,cpu_ms,develop_wait,0.004700
2,cpu_ms,frame_wall,373.196800
2,cpu_ms,light_selection_record,0.153200
2,cpu_ms,preprocess_submit,12.376300
2,cpu_ms,render_setup,0.473000
2,cpu_ms,render_submit,155.578700
2,cpu_ms,render_wait,0.011500
2,cpu_ms,render_wall,372.463500
2,cpu_ms,scene_metadata,0.182800
2,cpu_ms,scene_registration,163.879700
2,cpu_ms,scene_update,216.203500
2,cpu_ms,software_prepare,39.608200
2,cpu_ms,static_upload,157.030100
2,count,gpu_timestamps,0
