scene,a,b,png_rmse,png_psnr_db,png_mae,png_abs_p99,linear_rmse,linear_nrmse_symmetric,linear_mean_relative_delta,png_32px_box_rmse
monster,d3d12,vulkan,0.06899477404670681,23.223676066017312,0.046480601441626475,0.2274509803921569,0.05421079387023177,0.1671939574246478,0.00028694530494277615,0.0021934436150786115
monster,d3d12,cuda,0.06897472730580492,23.226200156901097,0.04647946825214461,0.2274509803921569,0.05434892855117092,0.16760657380372315,0.0003331654277998197,0.002229354630639345
monster,d3d12,optix,0.06898156685947233,23.22533890430314,0.046484417385525174,0.2274509803921569,0.05434801259234175,0.16760516256901262,0.00031737031566203555,0.0022284004609689936
monster,vulkan,cuda,0.017477246693211268,35.15053967216423,0.007290610768436613,0.07450980392156858,0.014115261771977345,0.04351111885736607,4.6206864014353144e-05,0.0005975737088405209
monster,vulkan,optix,0.01749545517311488,35.14149508294061,0.00729845209059372,0.07450980392156858,0.014115101624483357,0.04351099182218721,3.0416282909673242e-05,0.0005918100367582659
monster,cuda,optix,0.0058308937300212416,44.68529747336589,0.0012278737585528993,0.027450980392156765,0.003667518472185138,0.011304531548080638,-1.578985150518797e-05,0.00019576178946342955
classroom,d3d12,vulkan,0.05863869954270095,24.636313396155618,0.04262208504801095,0.17647058823529405,0.06369041455311428,0.06128203064970274,0.0008366883322479257,0.005308947660006796
classroom,d3d12,cuda,0.06114226914665046,24.27316895054276,0.04419414815823441,0.1843137254901961,0.06880755700602698,0.06624420648366794,-0.00435222943452962,0.0153406779813071
classroom,d3d12,optix,0.06113705238876959,24.27391007639594,0.04418819091422573,0.1843137254901961,0.06880790064389335,0.06624470252037126,-0.004351597032018706,0.015338494048511505
classroom,vulkan,cuda,0.025501345445684363,31.86873811349983,0.008516876966836121,0.12549019607843132,0.03384796447712941,0.03258413108379156,-0.005184579889276675,0.016046987424742448
classroom,vulkan,optix,0.025456259141828686,31.884108332129173,0.008475705791575895,0.12156862745098046,0.0338369363251767,0.03257359592445479,-0.005183948015447193,0.016045069860544266
classroom,cuda,optix,0.007178252507377289,42.87962537357525,0.001675707808843702,0.03137254901960784,0.005217382090325169,0.0050255113283446985,6.351669030735252e-07,0.00022874665149911016
junkshop,d3d12,vulkan,0.03509945171875657,29.093993350101364,0.020155174509803947,0.13725490196078433,0.017018534083894817,0.16366338727790383,0.0002750025138367196,0.0010892110427244775
junkshop,d3d12,cuda,0.03511808884377781,29.08938253594838,0.020169262745098043,0.13725490196078433,0.017026047118214607,0.16373739130001483,0.0003148239381698392,0.001114387618167066
junkshop,d3d12,optix,0.0351044229415644,29.09276323301862,0.02016106732026144,0.13725490196078433,0.017023451617369793,0.1637104950160235,0.00029422923500610487,0.001107656308796551
junkshop,vulkan,cuda,0.010324992851353203,39.722204807220926,0.0036328071895424885,0.04313725490196074,0.004444936783325625,0.04274020202249309,3.98104763521534e-05,0.00033568514233621216
junkshop,vulkan,optix,0.010300279263959083,39.74302000851348,0.0036260222222222263,0.04313725490196074,0.004427789714989694,0.04257482147672305,1.9221435226368655e-05,0.0003338848946676951
junkshop,cuda,optix,0.006022413388919834,44.4045887414439,0.0013598843137254907,0.023529411764705882,0.0026412104387048777,0.0253964785187465,-2.0588221498751835e-05,0.00018988474961331462
