frame,domain,stage,value
0,cpu_ms,bvh_record,17.448300
0,cpu_ms,compile_builders,1472.031900
0,cpu_ms,compile_renderer,70887.884800
0,cpu_ms,develop,0.108300
0,cpu_ms,develop_submit,0.084600
0,cpu_ms,develop_wait,0.000200
0,cpu_ms,frame_wall,91951.348600
0,cpu_ms,light_selection_record,0.384200
0,cpu_ms,preprocess_submit,553.356000
0,cpu_ms,render_setup,0.112000
0,cpu_ms,render_submit,3181.065200
0,cpu_ms,render_wait,0.000500
0,cpu_ms,render_wall,91951.239600
0,cpu_ms,scene_metadata,0.054300
0,cpu_ms,scene_registration,14760.449100
0,cpu_ms,scene_update,87710.526100
0,cpu_ms,software_prepare,72378.716100
0,count,blas_rebuilt,1
0,count,bvh_dispatches,5660
0,count,bvh_nodes,13771756
0,count,gpu_timestamps,0
0,count,instances,48
1,cpu_ms,bvh_record,0.092500
1,cpu_ms,develop,0.107400
1,cpu_ms,develop_submit,0.082900
1,cpu_ms,develop_wait,0.000200
1,cpu_ms,frame_wall,3048.765200
1,cpu_ms,light_selection_record,0.021500
1,cpu_ms,preprocess_submit,7.905500
1,cpu_ms,render_setup,0.043600
1,cpu_ms,render_submit,3034.291800
1,cpu_ms,render_wait,0.000800
1,cpu_ms,render_wall,3048.657200
1,cpu_ms,scene_metadata,0.023000
1,cpu_ms,scene_registration,4.723000
1,cpu_ms,scene_update,14.307800
1,cpu_ms,software_prepare,1.532800
1,count,blas_rebuilt,0
1,count,bvh_dispatches,36
1,count,bvh_nodes,13771756
1,count,gpu_timestamps,0
1,count,instances,48
2,cpu_ms,bvh_record,0.090500
2,cpu_ms,develop,0.097900
2,cpu_ms,develop_submit,0.075600
2,cpu_ms,develop_wait,0.000200
2,cpu_ms,frame_wall,3089.642900
2,cpu_ms,light_selection_record,0.019900
2,cpu_ms,preprocess_submit,7.133800
2,cpu_ms,render_setup,0.044500
2,cpu_ms,render_submit,3079.356900
2,cpu_ms,render_wait,0.000500
2,cpu_ms,render_wall,3089.544400
2,cpu_ms,scene_metadata,0.022700
2,cpu_ms,scene_registration,1.468800
2,cpu_ms,scene_update,10.130100
2,cpu_ms,software_prepare,1.387600
2,count,blas_rebuilt,0
2,count,bvh_dispatches,36
2,count,bvh_nodes,13771756
2,count,gpu_timestamps,0
2,count,instances,48
3,cpu_ms,bvh_record,0.119900
3,cpu_ms,develop,0.099100
3,cpu_ms,develop_submit,0.073600
3,cpu_ms,develop_wait,0.000200
3,cpu_ms,frame_wall,3103.397600
3,cpu_ms,light_selection_record,0.051100
3,cpu_ms,preprocess_submit,6.857700
3,cpu_ms,render_setup,0.044100
3,cpu_ms,render_submit,3093.079300
3,cpu_ms,render_wait,0.000500
3,cpu_ms,render_wall,3103.298100
3,cpu_ms,scene_metadata,0.022600
3,cpu_ms,scene_registration,1.516100
3,cpu_ms,scene_update,10.164500
3,cpu_ms,software_prepare,1.587100
3,count,blas_rebuilt,0
3,count,bvh_dispatches,36
3,count,bvh_nodes,13771756
3,count,gpu_timestamps,0
3,count,instances,48
4,cpu_ms,bvh_record,0.086800
4,cpu_ms,develop,0.104100
4,cpu_ms,develop_submit,0.079800
4,cpu_ms,develop_wait,0.000200
4,cpu_ms,frame_wall,3181.741400
4,cpu_ms,light_selection_record,0.016700
4,cpu_ms,preprocess_submit,9.285800
4,cpu_ms,render_setup,0.042700
4,cpu_ms,render_submit,3168.543600
4,cpu_ms,render_wait,0.000700
4,cpu_ms,render_wall,3181.636900
4,cpu_ms,scene_metadata,0.022600
4,cpu_ms,scene_registration,2.238500
4,cpu_ms,scene_update,13.040000
4,cpu_ms,software_prepare,1.383900
4,count,blas_rebuilt,0
4,count,bvh_dispatches,36
4,count,bvh_nodes,13771756
4,count,gpu_timestamps,0
4,count,instances,48
5,cpu_ms,bvh_record,0.087100
5,cpu_ms,develop,0.097300
5,cpu_ms,develop_submit,0.072300
5,cpu_ms,develop_wait,0.000200
5,cpu_ms,frame_wall,3079.085400
5,cpu_ms,light_selection_record,0.018100
5,cpu_ms,preprocess_submit,7.311000
5,cpu_ms,render_setup,0.049500
5,cpu_ms,render_submit,3068.652200
5,cpu_ms,render_wait,0.000900
5,cpu_ms,render_wall,3078.987600
5,cpu_ms,scene_metadata,0.023500
5,cpu_ms,scene_registration,1.451000
5,cpu_ms,scene_update,10.274500
5,cpu_ms,software_prepare,1.378300
5,count,blas_rebuilt,0
5,count,bvh_dispatches,36
5,count,bvh_nodes,13771756
5,count,gpu_timestamps,0
5,count,instances,48
6,cpu_ms,bvh_record,0.087400
6,cpu_ms,develop,0.096400
6,cpu_ms,develop_submit,0.071400
6,cpu_ms,develop_wait,0.000200
6,cpu_ms,frame_wall,3158.942300
6,cpu_ms,light_selection_record,0.017400
6,cpu_ms,preprocess_submit,7.982600
6,cpu_ms,render_setup,0.084300
6,cpu_ms,render_submit,3147.651300
6,cpu_ms,render_wait,0.000600
6,cpu_ms,render_wall,3158.845500
6,cpu_ms,scene_metadata,0.022500
6,cpu_ms,scene_registration,1.630600
6,cpu_ms,scene_update,11.099400
6,cpu_ms,software_prepare,1.353800
6,count,blas_rebuilt,0
6,count,bvh_dispatches,36
6,count,bvh_nodes,13771756
6,count,gpu_timestamps,0
6,count,instances,48
7,cpu_ms,bvh_record,0.092100
7,cpu_ms,develop,0.095200
7,cpu_ms,develop_submit,0.071500
7,cpu_ms,develop_wait,0.000100
7,cpu_ms,frame_wall,3127.326700
7,cpu_ms,light_selection_record,0.019500
7,cpu_ms,preprocess_submit,7.827000
7,cpu_ms,render_setup,0.044700
7,cpu_ms,render_submit,3116.343500
7,cpu_ms,render_wait,0.000600
7,cpu_ms,render_wall,3127.230900
7,cpu_ms,scene_metadata,0.023100
7,cpu_ms,scene_registration,1.512900
7,cpu_ms,scene_update,10.832400
7,cpu_ms,software_prepare,1.351800
7,count,blas_rebuilt,0
7,count,bvh_dispatches,36
7,count,bvh_nodes,13771756
7,count,gpu_timestamps,0
7,count,instances,48
8,cpu_ms,bvh_record,0.097600
8,cpu_ms,develop,0.097100
8,cpu_ms,develop_submit,0.070700
8,cpu_ms,develop_wait,0.000100
8,cpu_ms,frame_wall,3075.416900
8,cpu_ms,light_selection_record,0.020800
8,cpu_ms,preprocess_submit,7.438700
8,cpu_ms,render_setup,0.045500
8,cpu_ms,render_submit,3064.442300
8,cpu_ms,render_wait,0.000700
8,cpu_ms,render_wall,3075.319300
8,cpu_ms,scene_metadata,0.021900
8,cpu_ms,scene_registration,1.576400
8,cpu_ms,scene_update,10.819300
8,cpu_ms,software_prepare,1.655600
8,count,blas_rebuilt,0
8,count,bvh_dispatches,36
8,count,bvh_nodes,13771756
8,count,gpu_timestamps,0
8,count,instances,48
9,cpu_ms,bvh_record,0.096300
9,cpu_ms,develop,0.095400
9,cpu_ms,develop_submit,0.070200
9,cpu_ms,develop_wait,0.000200
9,cpu_ms,frame_wall,3128.909500
9,cpu_ms,light_selection_record,0.019800
9,cpu_ms,preprocess_submit,7.180500
9,cpu_ms,render_setup,0.075300
9,cpu_ms,render_submit,3118.458100
9,cpu_ms,render_wait,0.000500
9,cpu_ms,render_wall,3128.813500
9,cpu_ms,scene_metadata,0.022200
9,cpu_ms,scene_registration,1.548500
9,cpu_ms,scene_update,10.267900
9,cpu_ms,software_prepare,1.393900
9,count,blas_rebuilt,0
9,count,bvh_dispatches,36
9,count,bvh_nodes,13771756
9,count,gpu_timestamps,0
9,count,instances,48
10,cpu_ms,bvh_record,0.089700
10,cpu_ms,develop,0.113100
10,cpu_ms,develop_submit,0.087600
10,cpu_ms,develop_wait,0.000200
10,cpu_ms,frame_wall,3123.306500
10,cpu_ms,light_selection_record,0.019300
10,cpu_ms,preprocess_submit,6.777400
10,cpu_ms,render_setup,0.042400
10,cpu_ms,render_submit,3113.332400
10,cpu_ms,render_wait,0.000700
10,cpu_ms,render_wall,3123.192800
10,cpu_ms,scene_metadata,0.022900
10,cpu_ms,scene_registration,1.487400
10,cpu_ms,scene_update,9.806200
10,cpu_ms,software_prepare,1.401900
10,count,blas_rebuilt,0
10,count,bvh_dispatches,36
10,count,bvh_nodes,13771756
10,count,gpu_timestamps,0
10,count,instances,48
11,cpu_ms,bvh_record,0.088100
11,cpu_ms,develop,1.116400
11,cpu_ms,develop_submit,1.079300
11,cpu_ms,develop_wait,0.000600
11,cpu_ms,frame_wall,2987.597400
11,cpu_ms,light_selection_record,0.018400
11,cpu_ms,preprocess_submit,6.864700
11,cpu_ms,render_setup,0.042600
11,cpu_ms,render_submit,2976.282900
11,cpu_ms,render_wait,0.000600
11,cpu_ms,render_wall,2986.480500
11,cpu_ms,scene_metadata,0.023100
11,cpu_ms,scene_registration,1.507900
11,cpu_ms,scene_update,10.140600
11,cpu_ms,software_prepare,1.633200
11,count,blas_rebuilt,0
11,count,bvh_dispatches,36
11,count,bvh_nodes,13771756
11,count,gpu_timestamps,0
11,count,instances,48
12,cpu_ms,bvh_record,0.086800
12,cpu_ms,develop,0.297900
12,cpu_ms,develop_submit,0.169100
12,cpu_ms,develop_wait,0.000300
12,cpu_ms,frame_wall,3100.034500
12,cpu_ms,light_selection_record,0.019300
12,cpu_ms,preprocess_submit,6.627400
12,cpu_ms,render_setup,0.042400
12,cpu_ms,render_submit,3089.679500
12,cpu_ms,render_wait,0.001100
12,cpu_ms,render_wall,3099.736100
12,cpu_ms,scene_metadata,0.023100
12,cpu_ms,scene_registration,1.854800
12,cpu_ms,scene_update,10.000300
12,cpu_ms,software_prepare,1.382800
12,count,blas_rebuilt,0
12,count,bvh_dispatches,36
12,count,bvh_nodes,13771756
12,count,gpu_timestamps,0
12,count,instances,48
13,cpu_ms,bvh_record,0.086400
13,cpu_ms,develop,0.092400
13,cpu_ms,develop_submit,0.069700
13,cpu_ms,develop_wait,0.000200
13,cpu_ms,frame_wall,3158.024900
13,cpu_ms,light_selection_record,0.018100
13,cpu_ms,preprocess_submit,6.964000
13,cpu_ms,render_setup,0.042700
13,cpu_ms,render_submit,3147.117600
13,cpu_ms,render_wait,0.000500
13,cpu_ms,render_wall,3157.932000
13,cpu_ms,scene_metadata,0.022500
13,cpu_ms,scene_registration,2.312900
13,cpu_ms,scene_update,10.760700
13,cpu_ms,software_prepare,1.350000
13,count,blas_rebuilt,0
13,count,bvh_dispatches,36
13,count,bvh_nodes,13771756
13,count,gpu_timestamps,0
13,count,instances,48
14,cpu_ms,bvh_record,0.084300
14,cpu_ms,develop,0.101900
14,cpu_ms,develop_submit,0.068900
14,cpu_ms,develop_wait,0.000200
14,cpu_ms,frame_wall,3161.160000
14,cpu_ms,light_selection_record,0.018500
14,cpu_ms,preprocess_submit,7.840000
14,cpu_ms,render_setup,0.051900
14,cpu_ms,render_submit,3150.175000
14,cpu_ms,render_wait,0.000500
14,cpu_ms,render_wall,3161.057700
14,cpu_ms,scene_metadata,0.023100
14,cpu_ms,scene_registration,1.472400
14,cpu_ms,scene_update,10.819100
14,cpu_ms,software_prepare,1.374500
14,count,blas_rebuilt,0
14,count,bvh_dispatches,36
14,count,bvh_nodes,13771756
14,count,gpu_timestamps,0
14,count,instances,48
15,cpu_ms,bvh_record,0.090400
15,cpu_ms,develop,0.115800
15,cpu_ms,develop_submit,0.082200
15,cpu_ms,develop_wait,0.000200
15,cpu_ms,frame_wall,3069.040300
15,cpu_ms,light_selection_record,0.018100
15,cpu_ms,preprocess_submit,8.219300
15,cpu_ms,render_setup,0.045600
15,cpu_ms,render_submit,3057.716200
15,cpu_ms,render_wait,0.000900
15,cpu_ms,render_wall,3068.923700
15,cpu_ms,scene_metadata,0.023100
15,cpu_ms,scene_registration,1.458000
15,cpu_ms,scene_update,11.149100
15,cpu_ms,software_prepare,1.334300
15,count,blas_rebuilt,0
15,count,bvh_dispatches,36
15,count,bvh_nodes,13771756
15,count,gpu_timestamps,0
15,count,instances,48
16,cpu_ms,bvh_record,0.101300
16,cpu_ms,develop,0.094000
16,cpu_ms,develop_submit,0.069100
16,cpu_ms,develop_wait,0.000200
16,cpu_ms,frame_wall,3097.812500
16,cpu_ms,light_selection_record,0.018700
16,cpu_ms,preprocess_submit,6.979200
16,cpu_ms,render_setup,0.734700
16,cpu_ms,render_submit,3086.809000
16,cpu_ms,render_wait,0.000600
16,cpu_ms,render_wall,3097.717900
16,cpu_ms,scene_metadata,0.023700
16,cpu_ms,scene_registration,1.524900
16,cpu_ms,scene_update,10.163600
16,cpu_ms,software_prepare,1.509900
16,count,blas_rebuilt,0
16,count,bvh_dispatches,36
16,count,bvh_nodes,13771756
16,count,gpu_timestamps,0
16,count,instances,48
17,cpu_ms,bvh_record,0.086100
17,cpu_ms,develop,0.092900
17,cpu_ms,develop_submit,0.069700
17,cpu_ms,develop_wait,0.000200
17,cpu_ms,frame_wall,3071.370300
17,cpu_ms,light_selection_record,0.018300
