frame,domain,stage,value
0,cpu_ms,compile_renderer,3617.156000
0,cpu_ms,develop,1.399100
0,cpu_ms,develop_submit,0.318600
0,cpu_ms,develop_wait,0.761700
0,cpu_ms,frame_wall,32563.029900
0,cpu_ms,light_selection_record,1.464400
0,cpu_ms,preprocess_submit,0.908500
0,cpu_ms,render_setup,3.672700
0,cpu_ms,render_submit,0.814900
0,cpu_ms,render_wait,184.272600
0,cpu_ms,render_wall,32561.624500
0,cpu_ms,scene_metadata,1.237400
0,cpu_ms,scene_registration,27831.360000
0,cpu_ms,scene_update,31676.844700
0,cpu_ms,software_prepare,3841.865400
0,count,gpu_timestamps,0
0,count,instances,48
0,count,native_ray_query,1
1,cpu_ms,develop,0.380800
1,cpu_ms,develop_submit,0.071100
1,cpu_ms,develop_wait,0.108200
1,cpu_ms,frame_wall,67.209600
1,cpu_ms,light_selection_record,0.104100
1,cpu_ms,preprocess_submit,0.744300
1,cpu_ms,render_setup,1.874800
1,cpu_ms,render_submit,0.191300
1,cpu_ms,render_wait,50.890900
1,cpu_ms,render_wall,66.828100
1,cpu_ms,scene_metadata,0.250600
1,cpu_ms,scene_registration,10.434300
1,cpu_ms,scene_update,13.848800
1,cpu_ms,software_prepare,2.311900
1,count,gpu_timestamps,0
1,count,instances,48
1,count,native_ray_query,1
2,cpu_ms,develop,0.633400
2,cpu_ms,develop_submit,0.158400
2,cpu_ms,develop_wait,0.170000
2,cpu_ms,frame_wall,61.941900
2,cpu_ms,light_selection_record,0.072500
2,cpu_ms,preprocess_submit,0.273900
2,cpu_ms,render_setup,0.979300
2,cpu_ms,render_submit,0.135400
2,cpu_ms,render_wait,50.577700
2,cpu_ms,render_wall,61.306800
2,cpu_ms,scene_metadata,0.172600
2,cpu_ms,scene_registration,7.431100
2,cpu_ms,scene_update,9.575400
2,cpu_ms,software_prepare,1.622700
2,count,gpu_timestamps,0
2,count,instances,48
2,count,native_ray_query,1
3,cpu_ms,develop,0.353900
3,cpu_ms,develop_submit,0.078300
3,cpu_ms,develop_wait,0.107600
3,cpu_ms,frame_wall,67.838100
3,cpu_ms,light_selection_record,0.102400
3,cpu_ms,preprocess_submit,0.403200
3,cpu_ms,render_setup,1.249700
3,cpu_ms,render_submit,0.149400
3,cpu_ms,render_wait,52.043200
3,cpu_ms,render_wall,67.483000
3,cpu_ms,scene_metadata,0.217200
3,cpu_ms,scene_registration,11.255700
3,cpu_ms,scene_update,14.016600
3,cpu_ms,software_prepare,2.034600
3,count,gpu_timestamps,0
3,count,instances,48
3,count,native_ray_query,1
4,cpu_ms,develop,0.911700
4,cpu_ms,develop_submit,0.230900
4,cpu_ms,develop_wait,0.128700
4,cpu_ms,frame_wall,64.816200
4,cpu_ms,light_selection_record,0.072100
4,cpu_ms,preprocess_submit,0.272900
4,cpu_ms,render_setup,0.935100
4,cpu_ms,render_submit,0.133400
4,cpu_ms,render_wait,51.945800
4,cpu_ms,render_wall,63.900800
4,cpu_ms,scene_metadata,0.209100
4,cpu_ms,scene_registration,8.674200
4,cpu_ms,scene_update,10.838000
4,cpu_ms,software_prepare,1.606800
4,count,gpu_timestamps,0
4,count,instances,48
4,count,native_ray_query,1
5,cpu_ms,develop,0.381400
5,cpu_ms,develop_submit,0.086000
5,cpu_ms,develop_wait,0.111600
5,cpu_ms,frame_wall,71.883500
5,cpu_ms,light_selection_record,0.071300
5,cpu_ms,preprocess_submit,0.271000
5,cpu_ms,render_setup,0.891800
5,cpu_ms,render_submit,0.146400
5,cpu_ms,render_wait,54.530700
5,cpu_ms,render_wall,71.501000
5,cpu_ms,scene_metadata,0.189000
5,cpu_ms,scene_registration,13.732100
5,cpu_ms,scene_update,15.902800
5,cpu_ms,software_prepare,1.636200
5,count,gpu_timestamps,0
5,count,instances,48
5,count,native_ray_query,1
6,cpu_ms,develop,0.409500
6,cpu_ms,develop_submit,0.094800
6,cpu_ms,develop_wait,0.105500
6,cpu_ms,frame_wall,60.209800
6,cpu_ms,light_selection_record,0.072200
6,cpu_ms,preprocess_submit,0.276500
6,cpu_ms,render_setup,0.897600
6,cpu_ms,render_submit,0.137500
6,cpu_ms,render_wait,49.324500
6,cpu_ms,render_wall,59.798800
6,cpu_ms,scene_metadata,0.170600
6,cpu_ms,scene_registration,7.302400
6,cpu_ms,scene_update,9.410600
6,cpu_ms,software_prepare,1.586000
6,count,gpu_timestamps,0
6,count,instances,48
6,count,native_ray_query,1
7,cpu_ms,develop,0.913000
7,cpu_ms,develop_submit,0.387500
7,cpu_ms,develop_wait,0.107300
7,cpu_ms,frame_wall,68.673300
7,cpu_ms,light_selection_record,0.103800
7,cpu_ms,preprocess_submit,0.368200
7,cpu_ms,render_setup,0.962600
7,cpu_ms,render_submit,0.176900
7,cpu_ms,render_wait,52.151000
7,cpu_ms,render_wall,67.757700
7,cpu_ms,scene_metadata,0.235800
7,cpu_ms,scene_registration,10.484100
7,cpu_ms,scene_update,14.417100
7,cpu_ms,software_prepare,3.221200
7,count,gpu_timestamps,0
7,count,instances,48
7,count,native_ray_query,1
8,cpu_ms,develop,0.419900
8,cpu_ms,develop_submit,0.107400
8,cpu_ms,develop_wait,0.099800
8,cpu_ms,frame_wall,66.202900
8,cpu_ms,light_selection_record,0.075600
8,cpu_ms,preprocess_submit,0.296200
8,cpu_ms,render_setup,0.905900
8,cpu_ms,render_submit,0.143200
8,cpu_ms,render_wait,50.851600
8,cpu_ms,render_wall,65.781900
8,cpu_ms,scene_metadata,0.175500
