frame,domain,stage,value
0,cpu_ms,compile_renderer,44741.918900
0,cpu_ms,develop,0.135500
0,cpu_ms,develop_submit,0.110500
0,cpu_ms,develop_wait,0.000300
0,cpu_ms,frame_wall,61455.705000
0,cpu_ms,light_selection_record,0.089800
0,cpu_ms,preprocess_submit,13.207600
0,cpu_ms,render_setup,0.049400
0,cpu_ms,render_submit,785.264200
0,cpu_ms,render_wait,0.000500
0,cpu_ms,render_wall,61455.568900
0,cpu_ms,scene_metadata,0.143800
0,cpu_ms,scene_registration,14681.975900
0,cpu_ms,scene_update,59619.332100
0,cpu_ms,software_prepare,44923.909000
0,count,gpu_timestamps,0
0,count,instances,48
0,count,optix_hardware_traversal,1
1,cpu_ms,develop,0.134300
1,cpu_ms,develop_submit,0.109400
1,cpu_ms,develop_wait,0.000400
1,cpu_ms,frame_wall,557.039800
1,cpu_ms,light_selection_record,0.023200
1,cpu_ms,preprocess_submit,6.947900
1,cpu_ms,render_setup,0.041000
1,cpu_ms,render_submit,545.367500
1,cpu_ms,render_wait,0.000800
1,cpu_ms,render_wall,556.904800
1,cpu_ms,scene_metadata,0.075100
1,cpu_ms,scene_registration,3.040300
1,cpu_ms,scene_update,11.483500
1,cpu_ms,software_prepare,1.394500
1,count,gpu_timestamps,0
1,count,instances,48
1,count,optix_hardware_traversal,1
2,cpu_ms,develop,0.097800
2,cpu_ms,develop_submit,0.074900
2,cpu_ms,develop_wait,0.000100
2,cpu_ms,frame_wall,560.408600
2,cpu_ms,light_selection_record,0.021500
2,cpu_ms,preprocess_submit,8.033700
2,cpu_ms,render_setup,0.040800
2,cpu_ms,render_submit,547.788000
2,cpu_ms,render_wait,0.000500
2,cpu_ms,render_wall,560.310200
2,cpu_ms,scene_metadata,0.074300
2,cpu_ms,scene_registration,2.958500
2,cpu_ms,scene_update,12.468900
2,cpu_ms,software_prepare,1.378400
2,count,gpu_timestamps,0
2,count,instances,48
2,count,optix_hardware_traversal,1
3,cpu_ms,develop,0.104300
3,cpu_ms,develop_submit,0.080500
3,cpu_ms,develop_wait,0.000200
3,cpu_ms,frame_wall,557.581900
3,cpu_ms,light_selection_record,0.024200
3,cpu_ms,preprocess_submit,7.197500
3,cpu_ms,render_setup,0.087600
3,cpu_ms,render_submit,545.098300
3,cpu_ms,render_wait,0.000600
3,cpu_ms,render_wall,557.476700
3,cpu_ms,scene_metadata,0.074500
3,cpu_ms,scene_registration,2.842800
3,cpu_ms,scene_update,12.278000
3,cpu_ms,software_prepare,2.136700
3,count,gpu_timestamps,0
3,count,instances,48
3,count,optix_hardware_traversal,1
4,cpu_ms,develop,0.094100
4,cpu_ms,develop_submit,0.072400
4,cpu_ms,develop_wait,0.000100
4,cpu_ms,frame_wall,554.563700
4,cpu_ms,light_selection_record,0.019000
4,cpu_ms,preprocess_submit,6.234200
4,cpu_ms,render_setup,0.088200
4,cpu_ms,render_submit,545.338200
4,cpu_ms,render_wait,0.000500
4,cpu_ms,render_wall,554.468900
4,cpu_ms,scene_metadata,0.023100
4,cpu_ms,scene_registration,1.427400
4,cpu_ms,scene_update,9.030300
4,cpu_ms,software_prepare,1.324200
4,count,gpu_timestamps,0
4,count,instances,48
4,count,optix_hardware_traversal,1
5,cpu_ms,develop,0.153900
5,cpu_ms,develop_submit,0.118700
5,cpu_ms,develop_wait,0.000200
