frame,domain,stage,value
0,cpu_ms,compile_renderer,6504.753100
0,cpu_ms,develop,0.655600
0,cpu_ms,develop_submit,0.421600
0,cpu_ms,develop_wait,0.013100
0,cpu_ms,frame_wall,154768.879800
0,cpu_ms,light_selection_record,0.767700
0,cpu_ms,preprocess_submit,3.769200
0,cpu_ms,render_setup,1.318500
0,cpu_ms,render_submit,246.049900
0,cpu_ms,render_wait,0.024100
0,cpu_ms,render_wall,154768.222400
0,cpu_ms,scene_metadata,10.017400
0,cpu_ms,scene_registration,145977.368600
0,cpu_ms,scene_update,152663.806400
0,cpu_ms,software_prepare,6671.875300
0,cpu_ms,static_upload,66.434100
0,count,gpu_timestamps,0
0,count,instances,48
0,count,native_ray_query,1
0,count,static_upload_bytes,43844
0,count,static_upload_calls,313
1,cpu_ms,develop,0.850200
1,cpu_ms,develop_submit,0.349100
1,cpu_ms,develop_wait,0.015300
1,cpu_ms,frame_wall,78.931600
1,cpu_ms,light_selection_record,0.073000
1,cpu_ms,preprocess_submit,1.295100
1,cpu_ms,render_setup,0.203000
1,cpu_ms,render_submit,63.500700
1,cpu_ms,render_wait,0.027800
1,cpu_ms,render_wall,78.079400
1,cpu_ms,scene_metadata,0.186200
1,cpu_ms,scene_registration,10.897100
1,cpu_ms,scene_update,14.130200
1,cpu_ms,software_prepare,1.676400
1,cpu_ms,static_upload,11.046200
1,count,gpu_timestamps,0
1,count,instances,48
1,count,native_ray_query,1
1,count,static_upload_bytes,11308
1,count,static_upload_calls,123
2,cpu_ms,develop,0.902800
2,cpu_ms,develop_submit,0.630000
2,cpu_ms,develop_wait,0.014700
2,cpu_ms,frame_wall,77.939900
2,cpu_ms,light_selection_record,0.077000
2,cpu_ms,preprocess_submit,1.250900
2,cpu_ms,render_setup,0.205800
2,cpu_ms,render_submit,60.510900
2,cpu_ms,render_wait,0.019600
2,cpu_ms,render_wall,77.035500
2,cpu_ms,scene_metadata,0.222500
2,cpu_ms,scene_registration,12.474200
2,cpu_ms,scene_update,16.048200
2,cpu_ms,software_prepare,2.021000
2,cpu_ms,static_upload,12.410000
2,count,gpu_timestamps,0
2,count,instances,48
2,count,native_ray_query,1
2,count,static_upload_bytes,11308
2,count,static_upload_calls,123
3,cpu_ms,develop,0.860200
3,cpu_ms,develop_submit,0.517900
