frame,domain,stage,value
0,cpu_ms,bvh_record,13.598800
0,cpu_ms,compile_builders,1416.865800
0,cpu_ms,compile_renderer,47400.590600
0,cpu_ms,develop,0.073400
0,cpu_ms,develop_submit,0.049200
0,cpu_ms,develop_wait,0.000200
0,cpu_ms,frame_wall,67970.105100
0,cpu_ms,light_selection_record,0.149500
0,cpu_ms,preprocess_submit,212.912200
0,cpu_ms,render_setup,0.084500
0,cpu_ms,render_submit,2757.660400
0,cpu_ms,render_wait,0.000600
0,cpu_ms,render_wall,67970.031200
0,cpu_ms,scene_metadata,0.049900
0,cpu_ms,scene_registration,15145.756000
0,cpu_ms,scene_update,64198.458300
0,cpu_ms,software_prepare,48825.874600
0,count,blas_rebuilt,1
0,count,bvh_dispatches,5021
0,count,bvh_nodes,4108711
0,count,gpu_timestamps,0
0,count,instances,49
1,cpu_ms,bvh_record,0.076200
1,cpu_ms,develop,0.084600
1,cpu_ms,develop_submit,0.060200
1,cpu_ms,develop_wait,0.000200
1,cpu_ms,frame_wall,2763.134100
1,cpu_ms,light_selection_record,0.016500
1,cpu_ms,preprocess_submit,5.731300
1,cpu_ms,render_setup,0.041100
1,cpu_ms,render_submit,2751.440200
1,cpu_ms,render_wait,0.000700
1,cpu_ms,render_wall,2763.048700
1,cpu_ms,scene_metadata,0.021900
1,cpu_ms,scene_registration,3.859100
1,cpu_ms,scene_update,11.552200
1,cpu_ms,software_prepare,1.840500
1,count,blas_rebuilt,0
1,count,bvh_dispatches,36
1,count,bvh_nodes,4108711
1,count,gpu_timestamps,0
1,count,instances,49
2,cpu_ms,bvh_record,0.075400
2,cpu_ms,develop,0.157300
2,cpu_ms,develop_submit,0.090900
2,cpu_ms,develop_wait,0.000300
2,cpu_ms,frame_wall,2789.353300
2,cpu_ms,light_selection_record,0.016000
2,cpu_ms,preprocess_submit,8.331500
2,cpu_ms,render_setup,0.127600
2,cpu_ms,render_submit,2777.733300
2,cpu_ms,render_wait,0.001000
2,cpu_ms,render_wall,2789.195000
2,cpu_ms,scene_metadata,0.025500
2,cpu_ms,scene_registration,1.080200
2,cpu_ms,scene_update,11.312600
2,cpu_ms,software_prepare,1.777500
2,count,blas_rebuilt,0
2,count,bvh_dispatches,36
2,count,bvh_nodes,4108711
2,count,gpu_timestamps,0
2,count,instances,49
3,cpu_ms,bvh_record,0.126200
3,cpu_ms,develop,0.137800
3,cpu_ms,develop_submit,0.084400
3,cpu_ms,develop_wait,0.000200
3,cpu_ms,frame_wall,2761.123100
3,cpu_ms,light_selection_record,0.034800
3,cpu_ms,preprocess_submit,9.363700
3,cpu_ms,render_setup,0.093200
3,cpu_ms,render_submit,2745.532000
3,cpu_ms,render_wait,0.000700
3,cpu_ms,render_wall,2760.984300
