frame,domain,stage,value
0,cpu_ms,compile_renderer,2412.786900
0,cpu_ms,develop,0.674400
0,cpu_ms,develop_submit,0.339800
0,cpu_ms,develop_wait,0.097200
0,cpu_ms,frame_wall,19263.158400
0,cpu_ms,light_selection_record,0.939000
0,cpu_ms,preprocess_submit,0.878400
0,cpu_ms,render_setup,3.464000
0,cpu_ms,render_submit,0.514300
0,cpu_ms,render_wait,278.630800
0,cpu_ms,render_wall,19262.482300
0,cpu_ms,scene_metadata,1.221400
0,cpu_ms,scene_registration,15727.224400
0,cpu_ms,scene_update,18312.564700
0,cpu_ms,software_prepare,2582.293300
0,count,gpu_timestamps,0
0,count,instances,49
0,count,native_ray_query,1
1,cpu_ms,develop,0.412800
1,cpu_ms,develop_submit,0.136100
1,cpu_ms,develop_wait,0.083500
1,cpu_ms,frame_wall,67.127300
1,cpu_ms,light_selection_record,0.073800
1,cpu_ms,preprocess_submit,0.659000
1,cpu_ms,render_setup,0.783600
1,cpu_ms,render_submit,0.105000
1,cpu_ms,render_wait,54.065100
1,cpu_ms,render_wall,66.713200
1,cpu_ms,scene_metadata,0.172200
1,cpu_ms,scene_registration,8.645100
1,cpu_ms,scene_update,11.734200
1,cpu_ms,software_prepare,2.181000
1,count,gpu_timestamps,0
1,count,instances,49
1,count,native_ray_query,1
2,cpu_ms,develop,0.901300
2,cpu_ms,develop_submit,0.350900
2,cpu_ms,develop_wait,0.121100
2,cpu_ms,frame_wall,66.207700
2,cpu_ms,light_selection_record,0.075600
2,cpu_ms,preprocess_submit,0.269200
2,cpu_ms,render_setup,0.751500
2,cpu_ms,render_submit,0.091100
2,cpu_ms,render_wait,55.434200
2,cpu_ms,render_wall,65.303700
2,cpu_ms,scene_metadata,0.164500
2,cpu_ms,scene_registration,6.474300
2,cpu_ms,scene_update,8.971200
2,cpu_ms,software_prepare,1.985000
2,count,gpu_timestamps,0
2,count,instances,49
2,count,native_ray_query,1
3,cpu_ms,develop,0.727600
3,cpu_ms,develop_submit,0.248700
3,cpu_ms,develop_wait,0.090300
3,cpu_ms,frame_wall,68.443600
3,cpu_ms,light_selection_record,0.098000
3,cpu_ms,preprocess_submit,0.383700
3,cpu_ms,render_setup,1.249900
3,cpu_ms,render_submit,0.104600
3,cpu_ms,render_wait,53.218300
3,cpu_ms,render_wall,67.714000
3,cpu_ms,scene_metadata,0.171800
3,cpu_ms,scene_registration,10.320200
3,cpu_ms,scene_update,13.100700
3,cpu_ms,software_prepare,2.123100
3,count,gpu_timestamps,0
3,count,instances,49
3,count,native_ray_query,1
4,cpu_ms,develop,0.315200
4,cpu_ms,develop_submit,0.084400
4,cpu_ms,develop_wait,0.071100
