frame,domain,stage,value
0,cpu_ms,compile_renderer,39659.850300
0,cpu_ms,develop,0.073000
0,cpu_ms,develop_submit,0.048800
0,cpu_ms,develop_wait,0.000200
0,cpu_ms,frame_wall,56571.576100
0,cpu_ms,light_selection_record,0.380000
0,cpu_ms,preprocess_submit,8.972200
0,cpu_ms,render_setup,0.078300
0,cpu_ms,render_submit,872.070100
0,cpu_ms,render_wait,0.000700
0,cpu_ms,render_wall,56571.502500
0,cpu_ms,scene_metadata,0.072700
0,cpu_ms,scene_registration,14885.699400
0,cpu_ms,scene_update,54674.997200
0,cpu_ms,software_prepare,39779.865500
0,count,gpu_timestamps,0
0,count,instances,49
0,count,optix_hardware_traversal,1
1,cpu_ms,develop,0.073600
1,cpu_ms,develop_submit,0.048200
1,cpu_ms,develop_wait,0.000100
1,cpu_ms,frame_wall,667.052500
1,cpu_ms,light_selection_record,0.019800
1,cpu_ms,preprocess_submit,4.552500
1,cpu_ms,render_setup,0.040800
1,cpu_ms,render_submit,659.433700
1,cpu_ms,render_wait,0.000600
1,cpu_ms,render_wall,666.978200
1,cpu_ms,scene_metadata,0.022600
1,cpu_ms,scene_registration,1.140700
1,cpu_ms,scene_update,7.492100
1,cpu_ms,software_prepare,1.754500
1,count,gpu_timestamps,0
1,count,instances,49
1,count,optix_hardware_traversal,1
2,cpu_ms,develop,0.104300
2,cpu_ms,develop_submit,0.080200
2,cpu_ms,develop_wait,0.000400
2,cpu_ms,frame_wall,667.784700
2,cpu_ms,light_selection_record,0.024300
2,cpu_ms,preprocess_submit,5.653300
2,cpu_ms,render_setup,0.089100
2,cpu_ms,render_submit,659.100600
2,cpu_ms,render_wait,0.000700
2,cpu_ms,render_wall,667.679600
2,cpu_ms,scene_metadata,0.022800
2,cpu_ms,scene_registration,1.048400
2,cpu_ms,scene_update,8.476800
2,cpu_ms,software_prepare,1.725100
2,count,gpu_timestamps,0
2,count,instances,49
2,count,optix_hardware_traversal,1
3,cpu_ms,develop,0.070500
3,cpu_ms,develop_submit,0.047000
3,cpu_ms,develop_wait,0.000200
3,cpu_ms,frame_wall,669.535400
3,cpu_ms,light_selection_record,0.025600
3,cpu_ms,preprocess_submit,4.596600
3,cpu_ms,render_setup,0.039000
3,cpu_ms,render_submit,661.658300
3,cpu_ms,render_wait,0.000600
