frame,domain,stage,value
0,cpu_ms,compile_renderer,5353.310100
0,cpu_ms,develop,0.992400
0,cpu_ms,develop_submit,0.421300
0,cpu_ms,develop_wait,0.014500
0,cpu_ms,frame_wall,92182.932800
0,cpu_ms,light_selection_record,0.609800
0,cpu_ms,preprocess_submit,4.208900
0,cpu_ms,render_setup,0.245600
0,cpu_ms,render_submit,327.160200
0,cpu_ms,render_wait,0.026900
0,cpu_ms,render_wall,92181.938800
0,cpu_ms,scene_metadata,0.816900
0,cpu_ms,scene_registration,84531.986800
0,cpu_ms,scene_update,90003.782100
0,cpu_ms,software_prepare,5466.152200
0,cpu_ms,static_upload,48.643900
0,count,gpu_timestamps,0
0,count,instances,49
0,count,native_ray_query,1
0,count,static_upload_bytes,40188
0,count,static_upload_calls,281
1,cpu_ms,develop,0.837000
1,cpu_ms,develop_submit,0.447200
1,cpu_ms,develop_wait,0.017800
1,cpu_ms,frame_wall,104.624100
1,cpu_ms,light_selection_record,0.068800
1,cpu_ms,preprocess_submit,1.065500
1,cpu_ms,render_setup,0.192100
1,cpu_ms,render_submit,92.099500
1,cpu_ms,render_wait,0.029900
1,cpu_ms,render_wall,103.784700
1,cpu_ms,scene_metadata,0.181500
1,cpu_ms,scene_registration,7.946200
1,cpu_ms,scene_update,11.274700
1,cpu_ms,software_prepare,2.010300
1,cpu_ms,static_upload,8.186000
1,count,gpu_timestamps,0
1,count,instances,49
1,count,native_ray_query,1
1,count,static_upload_bytes,10608
1,count,static_upload_calls,104
2,cpu_ms,develop,0.775500
2,cpu_ms,develop_submit,0.413000
2,cpu_ms,develop_wait,0.024800
2,cpu_ms,frame_wall,100.755300
2,cpu_ms,light_selection_record,0.069500
2,cpu_ms,preprocess_submit,1.020700
2,cpu_ms,render_setup,0.284800
2,cpu_ms,render_submit,85.198700
2,cpu_ms,render_wait,0.029400
2,cpu_ms,render_wall,99.976900
2,cpu_ms,scene_metadata,0.190300
2,cpu_ms,scene_registration,10.798900
2,cpu_ms,scene_update,14.185900
2,cpu_ms,software_prepare,2.104500
2,cpu_ms,static_upload,10.885500
2,count,gpu_timestamps,0
2,count,instances,49
2,count,native_ray_query,1
2,count,static_upload_bytes,10608
2,count,static_upload_calls,104
3,cpu_ms,develop,0.655400
3,cpu_ms,develop_submit,0.350700
3,cpu_ms,develop_wait,0.019800
3,cpu_ms,frame_wall,98.408300
3,cpu_ms,light_selection_record,0.082300
3,cpu_ms,preprocess_submit,0.981600
3,cpu_ms,render_setup,0.196200
3,cpu_ms,render_submit,84.066400
3,cpu_ms,render_wait,0.030700
3,cpu_ms,render_wall,97.750000
3,cpu_ms,scene_metadata,0.199300
3,cpu_ms,scene_registration,9.663200
3,cpu_ms,scene_update,13.231200
3,cpu_ms,software_prepare,2.301900
3,cpu_ms,static_upload,9.883300
3,count,gpu_timestamps,0
3,count,instances,49
3,count,native_ray_query,1
3,count,static_upload_bytes,10608
3,count,static_upload_calls,104
4,cpu_ms,develop,0.442200
4,cpu_ms,develop_submit,0.242700
4,cpu_ms,develop_wait,0.011500
4,cpu_ms,frame_wall,100.119100
4,cpu_ms,light_selection_record,0.075300
4,cpu_ms,preprocess_submit,0.978300
4,cpu_ms,render_setup,0.215000
4,cpu_ms,render_submit,83.186900
4,cpu_ms,render_wait,0.021100
4,cpu_ms,render_wall,99.675200
4,cpu_ms,scene_metadata,0.324300
4,cpu_ms,scene_registration,12.315300
4,cpu_ms,scene_update,15.959100
4,cpu_ms,software_prepare,2.262800
4,cpu_ms,static_upload,12.186700
4,count,gpu_timestamps,0
4,count,instances,49
4,count,native_ray_query,1
4,count,static_upload_bytes,10608
4,count,static_upload_calls,104
5,cpu_ms,develop,0.630300
5,cpu_ms,develop_submit,0.337900
5,cpu_ms,develop_wait,0.019300
5,cpu_ms,frame_wall,98.975100
5,cpu_ms,light_selection_record,0.077500
5,cpu_ms,preprocess_submit,1.005200
5,cpu_ms,render_setup,0.200300
5,cpu_ms,render_submit,82.830000
5,cpu_ms,render_wait,0.034300
5,cpu_ms,render_wall,98.342200
5,cpu_ms,scene_metadata,0.297000
5,cpu_ms,scene_registration,11.335500
5,cpu_ms,scene_update,15.073800
5,cpu_ms,software_prepare,2.355100
5,cpu_ms,static_upload,11.388000
5,count,gpu_timestamps,0
5,count,instances,49
5,count,native_ray_query,1
5,count,static_upload_bytes,10608
5,count,static_upload_calls,104
6,cpu_ms,develop,0.432700
6,cpu_ms,develop_submit,0.239800
6,cpu_ms,develop_wait,0.010300
6,cpu_ms,frame_wall,101.273900
6,cpu_ms,light_selection_record,0.069500
6,cpu_ms,preprocess_submit,0.968000
6,cpu_ms,render_setup,0.216600
6,cpu_ms,render_submit,82.885800
6,cpu_ms,render_wait,0.017900
6,cpu_ms,render_wall,100.839000
6,cpu_ms,scene_metadata,0.169400
6,cpu_ms,scene_registration,14.286400
6,cpu_ms,scene_update,17.417200
6,cpu_ms,software_prepare,1.921000
6,cpu_ms,static_upload,13.981600
6,count,gpu_timestamps,0
6,count,instances,49
6,count,native_ray_query,1
6,count,static_upload_bytes,10608
6,count,static_upload_calls,104
7,cpu_ms,develop,0.605400
7,cpu_ms,develop_submit,0.334900
7,cpu_ms,develop_wait,0.016500
7,cpu_ms,frame_wall,96.236800
7,cpu_ms,light_selection_record,0.071200
7,cpu_ms,preprocess_submit,0.962800
7,cpu_ms,render_setup,0.229700
7,cpu_ms,render_submit,82.904000
7,cpu_ms,render_wait,0.029100
7,cpu_ms,render_wall,95.628600
7,cpu_ms,scene_metadata,0.206000
7,cpu_ms,scene_registration,8.684100
7,cpu_ms,scene_update,12.302100
7,cpu_ms,software_prepare,2.375300
7,cpu_ms,static_upload,8.846500
7,count,gpu_timestamps,0
7,count,instances,49
7,count,native_ray_query,1
7,count,static_upload_bytes,10608
7,count,static_upload_calls,104
8,cpu_ms,develop,0.388500
8,cpu_ms,develop_submit,0.213500
8,cpu_ms,develop_wait,0.010600
8,cpu_ms,frame_wall,99.499900
8,cpu_ms,light_selection_record,0.068800
8,cpu_ms,preprocess_submit,1.004100
8,cpu_ms,render_setup,0.190600
8,cpu_ms,render_submit,84.122900
8,cpu_ms,render_wait,0.019500
8,cpu_ms,render_wall,99.110000
8,cpu_ms,scene_metadata,0.184600
8,cpu_ms,scene_registration,11.209500
8,cpu_ms,scene_update,14.520700
8,cpu_ms,software_prepare,2.051200
8,cpu_ms,static_upload,10.980700
8,count,gpu_timestamps,0
8,count,instances,49
8,count,native_ray_query,1
8,count,static_upload_bytes,10608
8,count,static_upload_calls,104
9,cpu_ms,develop,0.355100
9,cpu_ms,develop_submit,0.194400
9,cpu_ms,develop_wait,0.010000
9,cpu_ms,frame_wall,94.707900
9,cpu_ms,light_selection_record,0.079800
9,cpu_ms,preprocess_submit,0.966700
9,cpu_ms,render_setup,0.207200
9,cpu_ms,render_submit,82.548300
9,cpu_ms,render_wait,0.013000
9,cpu_ms,render_wall,94.351700
9,cpu_ms,scene_metadata,0.179800
9,cpu_ms,scene_registration,8.201300
9,cpu_ms,scene_update,11.423800
9,cpu_ms,software_prepare,1.993500
9,cpu_ms,static_upload,8.152400
9,count,gpu_timestamps,0
9,count,instances,49
9,count,native_ray_query,1
9,count,static_upload_bytes,10608
9,count,static_upload_calls,104
10,cpu_ms,develop,0.683200
10,cpu_ms,develop_submit,0.345000
10,cpu_ms,develop_wait,0.017400
10,cpu_ms,frame_wall,95.138700
10,cpu_ms,light_selection_record,0.075900
10,cpu_ms,preprocess_submit,1.076700
10,cpu_ms,render_setup,0.188300
10,cpu_ms,render_submit,80.763700
10,cpu_ms,render_wait,0.027600
10,cpu_ms,render_wall,94.453300
10,cpu_ms,scene_metadata,0.220100
10,cpu_ms,scene_registration,9.881500
10,cpu_ms,scene_update,13.328600
10,cpu_ms,software_prepare,2.071700
10,cpu_ms,static_upload,10.189600
10,count,gpu_timestamps,0
10,count,instances,49
10,count,native_ray_query,1
10,count,static_upload_bytes,10608
10,count,static_upload_calls,104
11,cpu_ms,develop,0.709000
11,cpu_ms,develop_submit,0.269100
11,cpu_ms,develop_wait,0.011400
11,cpu_ms,frame_wall,103.039400
11,cpu_ms,light_selection_record,0.078200
11,cpu_ms,preprocess_submit,0.973200
11,cpu_ms,render_setup,0.196400
11,cpu_ms,render_submit,86.717300
11,cpu_ms,render_wait,0.022600
11,cpu_ms,render_wall,102.328600
11,cpu_ms,scene_metadata,0.218900
11,cpu_ms,scene_registration,11.750200
11,cpu_ms,scene_update,15.128000
11,cpu_ms,software_prepare,2.104900
11,cpu_ms,static_upload,11.790400
11,count,gpu_timestamps,0
11,count,instances,49
11,count,native_ray_query,1
11,count,static_upload_bytes,10608
11,count,static_upload_calls,104
12,cpu_ms,develop,0.325500
12,cpu_ms,develop_submit,0.179800
12,cpu_ms,develop_wait,0.007800
12,cpu_ms,frame_wall,94.706100
12,cpu_ms,light_selection_record,0.070500
12,cpu_ms,preprocess_submit,0.997700
12,cpu_ms,render_setup,0.187100
12,cpu_ms,render_submit,81.747100
12,cpu_ms,render_wait,0.015000
12,cpu_ms,render_wall,94.379500
12,cpu_ms,scene_metadata,0.177500
12,cpu_ms,scene_registration,8.672300
12,cpu_ms,scene_update,12.257300
12,cpu_ms,software_prepare,2.337100
12,cpu_ms,static_upload,8.825600
12,count,gpu_timestamps,0
12,count,instances,49
12,count,native_ray_query,1
12,count,static_upload_bytes,10608
12,count,static_upload_calls,104
13,cpu_ms,develop,0.566100
13,cpu_ms,develop_submit,0.296000
13,cpu_ms,develop_wait,0.015600
13,cpu_ms,frame_wall,90.328900
13,cpu_ms,light_selection_record,0.069300
13,cpu_ms,preprocess_submit,0.959200
13,cpu_ms,render_setup,0.188800
13,cpu_ms,render_submit,78.764900
13,cpu_ms,render_wait,0.032700
13,cpu_ms,render_wall,89.760500
13,cpu_ms,scene_metadata,0.214000
13,cpu_ms,scene_registration,7.362000
13,cpu_ms,scene_update,10.614900
13,cpu_ms,software_prepare,2.007700
13,cpu_ms,static_upload,7.622900
13,count,gpu_timestamps,0
13,count,instances,49
13,count,native_ray_query,1
13,count,static_upload_bytes,10608
13,count,static_upload_calls,104
14,cpu_ms,develop,0.527800
14,cpu_ms,develop_submit,0.284900
14,cpu_ms,develop_wait,0.012300
14,cpu_ms,frame_wall,98.061200
14,cpu_ms,light_selection_record,0.071900
14,cpu_ms,preprocess_submit,0.962100
14,cpu_ms,render_setup,0.194300
14,cpu_ms,render_submit,83.981000
14,cpu_ms,render_wait,0.020900
14,cpu_ms,render_wall,97.531800
14,cpu_ms,scene_metadata,0.191100
14,cpu_ms,scene_registration,9.534600
14,cpu_ms,scene_update,13.113900
14,cpu_ms,software_prepare,2.351800
14,cpu_ms,static_upload,9.577300
14,count,gpu_timestamps,0
14,count,instances,49
14,count,native_ray_query,1
14,count,static_upload_bytes,10608
14,count,static_upload_calls,104
15,cpu_ms,develop,0.696700
15,cpu_ms,develop_submit,0.382600
15,cpu_ms,develop_wait,0.013700
15,cpu_ms,frame_wall,95.497000
15,cpu_ms,light_selection_record,0.078100
15,cpu_ms,preprocess_submit,0.981900
15,cpu_ms,render_setup,0.557000
15,cpu_ms,render_submit,79.317300
15,cpu_ms,render_wait,0.022400
15,cpu_ms,render_wall,94.798100
15,cpu_ms,scene_metadata,0.170900
15,cpu_ms,scene_registration,11.470800
15,cpu_ms,scene_update,14.710700
15,cpu_ms,software_prepare,2.006000
15,cpu_ms,static_upload,11.938700
15,count,gpu_timestamps,0
15,count,instances,49
15,count,native_ray_query,1
15,count,static_upload_bytes,10608
15,count,static_upload_calls,104
16,cpu_ms,develop,0.859800
16,cpu_ms,develop_submit,0.368400
16,cpu_ms,develop_wait,0.019100
16,cpu_ms,frame_wall,94.963600
16,cpu_ms,light_selection_record,0.076100
16,cpu_ms,preprocess_submit,1.096800
16,cpu_ms,render_setup,0.212100
16,cpu_ms,render_submit,80.111700
16,cpu_ms,render_wait,0.214500
16,cpu_ms,render_wall,94.100600
16,cpu_ms,scene_metadata,0.170100
16,cpu_ms,scene_registration,9.690000
16,cpu_ms,scene_update,13.078500
16,cpu_ms,software_prepare,2.043000
16,cpu_ms,static_upload,9.936800
16,count,gpu_timestamps,0
16,count,instances,49
16,count,native_ray_query,1
16,count,static_upload_bytes,10608
16,count,static_upload_calls,104
17,cpu_ms,develop,0.467400
17,cpu_ms,develop_submit,0.252300
17,cpu_ms,develop_wait,0.012100
17,cpu_ms,frame_wall,98.232300
17,cpu_ms,light_selection_record,0.069900
17,cpu_ms,preprocess_submit,0.956400
17,cpu_ms,render_setup,0.188400
17,cpu_ms,render_submit,82.493800
17,cpu_ms,render_wait,0.021100
17,cpu_ms,render_wall,97.762300
17,cpu_ms,scene_metadata,0.290300
